region_pair,region1,region2,object,f_stat,p_value_shuffled,f_stat_null_95,var_explained_log_ratio,var_explained_log_ratio_null_95
PERI → TEa,PERI,TEa,object1,15.39894996794983,0.0,2.95001062306129,0.0033111782943599467,0.000635179269245648
TEa → PERI,TEa,PERI,object1,12.614169916765064,0.0,2.9793738814800634,0.002713189028669322,0.0006414995688609224
PERI → TEa,PERI,TEa,object2,10.721368550848789,0.0,2.948877500447744,0.0023065344291786994,0.000634935369305401
TEa → PERI,TEa,PERI,object2,16.10000087572226,0.0,3.094033626708718,0.0034616620156173758,0.0006661791446642834
PERI → TEa,PERI,TEa,object3,10.441789364591763,0.0,3.851854835907078,0.002246454856154068,0.0008292786674883825
TEa → PERI,TEa,PERI,object3,10.878989419594484,0.0,4.058965779543427,0.0023404044385686193,0.000873848796257576
PERI → VIS,PERI,VIS,object1,8.118641297570257,0.0,2.560936131482637,0.0022049794361925354,0.0006960615976958785
VIS → PERI,VIS,PERI,object1,9.789929761680463,0.0,2.507882772380548,0.002658289592574186,0.0006816466256754416
PERI → VIS,PERI,VIS,object2,16.4967003348592,0.0,3.9345852275584727,0.004475329341501123,0.0010692194281563753
VIS → PERI,VIS,PERI,object2,10.993842243290684,0.0,3.863214717424597,0.0029847042391124663,0.0010498347436239085
PERI → VIS,PERI,VIS,object3,7.073287429982746,0.0,3.4661012794592327,0.0019213394906592639,0.0009419693453178962
VIS → PERI,VIS,PERI,object3,7.458288507767811,0.0,3.493329293890535,0.002025812694929151,0.0009493654887739907
PERI → CA1,PERI,CA1,object1,9.310870591176636,0.0,2.824865561013117,0.0018575102836285216,0.000563922828316278
CA1 → PERI,CA1,PERI,object1,15.506260939237684,0.0,2.8499223387513197,0.003091576089177632,0.0005689234448006171
PERI → CA1,PERI,CA1,object2,16.961839890029143,0.0,3.0469374967926592,0.003381293470594417,0.0006082411695112618
CA1 → PERI,CA1,PERI,object2,22.16598348784979,0.0,3.0452145644657866,0.0044164364679250044,0.0006078973360565905
PERI → CA1,PERI,CA1,object3,6.991442090483793,0.0,2.307314803069306,0.0013951089903145484,0.0004606288935347904
CA1 → PERI,CA1,PERI,object3,13.056013098541754,0.0,2.3195103551874636,0.0026036908810480215,0.00046306303174294236
TEa → VIS,TEa,VIS,object1,9.093952927825283,0.0,3.3899590032349223,0.0024695420212904784,0.0009212859734432088
VIS → TEa,VIS,TEa,object1,13.631824440198955,0.0,3.2416022183308035,0.0036995633619829028,0.0008809849438311885
TEa → VIS,TEa,VIS,object2,22.95727275112356,0.0,3.6959520941356345,0.006222551028095597,0.0010044036784479101
VIS → TEa,VIS,TEa,object2,19.273024100359024,0.0,3.356983921333555,0.005226542953647211,0.0009123284527869688
TEa → VIS,TEa,VIS,object3,12.171555803385559,0.0,3.996451819975982,0.003303912558047531,0.0010860224836938
VIS → TEa,VIS,TEa,object3,23.262890626997574,0.0,4.233855566734078,0.006305127910974027,0.001150499064727289
TEa → CA1,TEa,CA1,object1,8.244006736158212,0.0,3.21167083407085,0.0018130567629411288,0.0007067151157070567
CA1 → TEa,CA1,TEa,object1,25.513172985588966,0.0,3.27028510214075,0.005600343042492224,0.0007196083076281773
TEa → CA1,TEa,CA1,object2,11.961052965182192,0.0,3.0134330865744765,0.002629451309420172,0.0006631081645943852
CA1 → TEa,CA1,TEa,object2,21.26488567080116,0.0,3.3715274415324106,0.004669984146256292,0.0007418778677088146
TEa → CA1,TEa,CA1,object3,19.85839917087912,0.0,3.268983869440655,0.004361778091015007,0.0007193220813952404
CA1 → TEa,CA1,TEa,object3,42.06066669434783,0.0,4.260869303572603,0.009215952330430892,0.0009374787670885539
VIS → CA1,VIS,CA1,object1,5.484094316104936,0.0,2.4837277114444705,0.0011843055242113873,0.0005365417271872644
CA1 → VIS,CA1,VIS,object1,23.03210166949246,0.0,2.6013962735737275,0.0049644499912814945,0.0005619536743758431
VIS → CA1,VIS,CA1,object2,12.426572488145986,0.0,2.6292386294621597,0.002681544271117349,0.0005679664729697908
CA1 → VIS,CA1,VIS,object2,29.883451646569963,0.0,2.8757231720442955,0.006436479333031421,0.0006211953739843666
VIS → CA1,VIS,CA1,object3,4.134090092111004,0.002,2.662892920426586,0.0008928984432403178,0.0005752343611729319
CA1 → VIS,CA1,VIS,object3,19.15264727578288,0.0,2.6885169880233133,0.004129977850580339,0.0005807680269272157
LEC → PERI,LEC,PERI,object1,2.718184517229763,0.1,3.15969298952099,0.000888510784500427,0.0010327550527841679
PERI → LEC,PERI,LEC,object1,3.4883356022108525,0.02,2.935263624990627,0.0011401116563756002,0.0009594348255065556
LEC → PERI,LEC,PERI,object2,6.73081283565032,0.001,3.688873372795996,0.0021987036906705704,0.0012056150094062665
PERI → LEC,PERI,LEC,object2,6.632862307305952,0.0,3.6391786172446836,0.0021667415720049788,0.0011893831899334917
LEC → PERI,LEC,PERI,object3,3.005375672945652,0.043,2.8717642179531344,0.0009823407446738783,0.0009386888326590222
PERI → LEC,PERI,LEC,object3,2.8966822200197355,0.047,2.8292224201824836,0.000946829884488443,0.0009247896934805304
LEC → TEa,LEC,TEa,object1,20.700692139291117,0.0,3.1924274787611036,0.008613676125902,0.0013332357484293917
TEa → LEC,TEa,LEC,object1,7.600003788823847,0.0,3.011980946567816,0.003171031064072689,0.001257924243142497
LEC → TEa,LEC,TEa,object2,8.482919732263237,0.0,3.6291844896666943,0.003538768456862475,0.0015154980034300788
TEa → LEC,TEa,LEC,object2,12.282330312980514,0.0,3.744181519020027,0.005119694200879899,0.0015634816755619985
LEC → TEa,LEC,TEa,object3,16.365560310385856,0.0,4.109195765971053,0.006815934795524689,0.0017157723045634723
TEa → LEC,TEa,LEC,object3,10.44914858249987,0.0,3.9107501865288867,0.004357223651466538,0.0016329800482687608
LEC → VIS,LEC,VIS,object1,7.382517188180347,0.0,2.4505784110657074,0.002737723700516035,0.0009096008228858309
